OBJECTID,VALUE,long,lat,X,Y
11017,0,-122.3794802,47.67555942,-122.3794802,47.67555942
11018,571508,-122.3570331,47.52116737,-122.3570331,47.52116737
11019,2504883,-122.317212,47.61676744,-122.317212,47.61676744
11020,2504883,-122.317212,47.61676744,-122.317212,47.61676744
11021,240727,-122.3003952,47.61681614,-122.3003952,47.61681614
11022,0,-122.3003952,47.61681614,-122.3003952,47.61681614
11023,352767,-122.2995688,47.58796724,-122.2995688,47.58796724
11024,352767,-122.2995688,47.58796724,-122.2995688,47.58796724
11025,302097,-122.2976983,47.61688616,-122.2976983,47.61688615
11026,224399,-122.2951367,47.61686087,-122.2951367,47.61686087
11027,470663,-122.2940429,47.58765474,-122.2940429,47.58765474
11028,0,-122.2940429,47.58765474,-122.2940429,47.58765474
11029,470663,-122.2940429,47.58765474,-122.2940429,47.58765474
11030,269858,-122.3879364,47.58762292,-122.3879363,47.58762292
11031,0,-122.3879364,47.58762292,-122.3879363,47.58762292
11032,479165,-122.3096564,47.60246605,-122.3096564,47.60246605
11033,0,-122.3096564,47.60246605,-122.3096564,47.60246605
11034,50000,-122.337112,47.66478943,-122.337112,47.66478943
11035,0,-122.3795204,47.67289585,-122.3795204,47.67289585
11036,471120,-122.3795204,47.67289585,-122.3795204,47.67289585
11037,471120,-122.3795204,47.67289585,-122.3795204,47.67289585
11038,600646,-122.3137577,47.61692063,-122.3137576,47.61692063
11039,450000,-122.3086234,47.61731117,-122.3086234,47.61731116
11040,323300,-122.3035704,47.58788886,-122.3035704,47.58788886
11041,221255,-122.297226,47.61693377,-122.297226,47.61693376
11042,221255,-122.297226,47.61693377,-122.297226,47.61693376
11043,0,-122.2877847,47.5871456,-122.2877847,47.5871456
11044,426439,-122.2877847,47.5871456,-122.2877847,47.5871456
